Caption,IP_Address,AssetTag,City,Comments,Department,Mail_to_ISP,Mail_to_ISP_CC,Qos,Service,SysLocation,SHA1(AssetTag|City|Comments|Department|Mail_to_ISP|Mail_to_ISP_CC|Qos|Service|SysLocation)
ULN_SHD_18hor_BoldTowerGeology,10.8.90.19,11-T-18-00009,,MCN-DISTRIBUTION,11-T-18-00009,,,,,,6411B4D7465BE5958F3FEEC4FF1CFFD11749E999
ULN_HUD_1hor_Hivs,10.8.90.18,11-T-17-00011,,MCN-DISTRIBUTION,11-T-17-00011,,,,,,F48B4ECA3FB5A02C2751DBE313520985FC6374E0
Tedy_8EA,10.8.90.17,11-T-15-00011,,MCN-DISTRIBUTION,11-T-15-00011,,,,,,F3740423647F11F75D4FC049E246056319A1ABB5
ULN_BGD_19hor_62Bair,10.8.90.16,11-T-16-00004,,MCN-DISTRIBUTION,11-T-16-00004,,,,,,9C5208E9168F94E24056A925AB6115D6017B3DFF
ULN_BGD_5hor_TehnikImport,10.8.90.15,11-T-16-00009,,MCN-DISTRIBUTION,11-T-16-00009,,,,,,F7F51BCC95425E6FBD886328F21162A81A177E57
TUV_Erdene_MW3k(8EA),10.8.90.14,11-T-41-00032,,MCN-DISTRIBUTION,11-T-41-00032,,,,,,5578B618BCC54589F657156B19550DD12A377588
TUV_MTC_8EA,10.8.90.13,11-T-41-00010,,MCN-DISTRIBUTION,11-T-41-00010,,,,,,0C68875CA58757FF0D2D20F8C1411B9ECC4F23C9
MW1K_8EA,10.8.90.12,11-T-41-00020,,MCN-DISTRIBUTION,11-T-41-00020,,,,,,7B43C12776D268E90B5C61736FD1F58FBADCBDD5
ULN_SBD_1hor_DBBuilding,10.8.90.11,11-T-14-00077,,MCN-DISTRIBUTION,11-T-14-00077,,,,,,FB3E1DDBFA53B3DB6FAAE551CAC58BCF9D5CF855
ULN_BZD_13hor_FizikTehnikHureelen,10.8.90.10,11-T-13-00010,,MCN-DISTRIBUTION,11-T-13-00010,,,,,,3941813D813D973E8A9912B9613D7772465694D4
ULN_SBD_11hor_AmperHouse,10.8.90.9,11-T-14-00211,,MCN-DISTRIBUTION,11-T-14-00211,,,,,,37DC598B01C9561915827F2061C6E05EA4123D45
ULN_BZD_1hor_SEZDS_8EA,10.8.90.8,11-T-13-00025,,MCN-DISTRIBUTION,11-T-13-00025,,,,,,BFFA5293B068B888CDEBF81880082CF552A8011C
ULN_BZD_4hor_ATS45,10.8.90.7,11-T-13-00003,,MCN-DISTRIBUTION,11-T-13-00003,,,,,,81E5C1180B1C6DFF1C7CACB50DF3A15A6F34DC35
ULN_BZD_18hor_13horoolol_3undur_8EA,10.8.90.6,11-T-13-00001,,MCN-DISTRIBUTION,11-T-13-00001,,,,,,9496362C5EA82B35848048E085E7FC2095B2FC52
TCB#2-2_9000-8EA,10.8.90.4,11-T-17-00108,,MCN_CORE,11-T-17-00108,,,,,,5F1BB19C9E560B98DD9C64B758C4D54B97555A46
TCB#2-1_9000-18EA,10.8.90.3,11-T-17-00108,,MCN_CORE,11-T-17-00108,,,,,,5F1BB19C9E560B98DD9C64B758C4D54B97555A46
TCB#1-2_9000-18EA,10.8.90.2,11-T-15-00065,,MCN_CORE,11-T-15-00065,,,,,,5D1B8A16FE42D1A8B136F2C6BE9E034076C85CCD
TCB#1-1_9000-18EA,10.8.90.1,11-T-15-00065,,MCN_CORE,11-T-15-00065,,,,,,5D1B8A16FE42D1A8B136F2C6BE9E034076C85CCD
ULN_SBD_Hailaast6Buudal,10.8.90.5,11-T-14-00009,,MCN-DISTRIBUTION,11-T-14-00009,,,,,,A321584661BFAD99D0D2416B259454492EC02C0B
